model_name,auc_train,auc_test,gini_train,gini_test,accuracy_test,precision_test,recall_test,f1_test,train_rows,test_rows,train_default_rate,test_default_rate
xgboost,0.9385879794674612,0.8208270681795811,0.877,0.642,0.7795407098121085,0.6032745591939547,0.6921965317919075,0.6446837146702558,9578,2395,0.29,0.29
random_forest,0.9204199133372377,0.8089710779006107,0.841,0.618,0.7691022964509394,0.5861214374225526,0.6835260115606936,0.6310873915943962,9578,2395,0.29,0.29
logistic_regression,0.7832516891174998,0.7800209762438947,0.567,0.56,0.7448851774530272,0.5466052934407365,0.6864161849710982,0.6085842408712364,9578,2395,0.29,0.29
